軱 ㄍㄨ
軲 ㄍㄨ
軳 ㄆㄠˊ
軴 ㄓㄨˋ
軵 ㄖㄨㄥˇ
軶 ㄜˋ
軷 ㄅㄚˊ
軸 ㄓㄡˊ
軹 ㄓˇ
軺 ㄧㄠˊ
軻 ㄎㄜ
軼 ㄧˋ
軽 ㄑㄧㄥ
軾 ㄕˋ
軿 ㄆㄧㄥˊ
輀 ㄦˊ
輁 ㄑㄩㄥˊ
輂 ㄐㄩˊ
較 ㄐㄧㄠˋ
輄 ㄍㄨㄤ
輅 ㄌㄨˋ
輆 ㄎㄞˇ
輇 ㄑㄩㄢˊ
輈 ㄓㄡ
載 ㄗㄞˋ
輊 ㄓˋ
輋 ㄐㄩ
輌 ㄌㄧㄤˋ
輍 ㄩˋ
輎 ㄕㄠ
輏 ㄧㄡˊ
輐 ㄏㄨㄢˇ
輑 ㄩㄣˇ
輒 ㄓㄜˊ
輓 ㄨㄢˇ
輔 ㄈㄨˇ
輕 ㄑㄧㄥ
輖 ㄓㄡ
輗 ㄋㄧˊ
輘 ㄌㄧㄥˊ
輙 ㄓㄜˊ
輚 ㄓㄢˋ
輛 ㄌㄧㄤˋ
輜 ㄗ
輝 ㄏㄨㄟ
輞 ㄨㄤˇ
輟 ㄔㄨㄛˋ
輠 ㄍㄨㄛˇ
輡 ㄎㄢˇ
輢 ㄧˇ
輣 ㄆㄥˊ
輤 ㄑㄧㄢˋ
輥 ㄍㄨㄣˇ
輦 ㄋㄧㄢˇ
輧 ㄆㄧㄥˊ
輨 ㄍㄨㄢˇ
輩 ㄅㄟˋ
輪 ㄌㄨㄣˊ
輫 ㄆㄞˊ
輬 ㄌㄧㄤˊ
輭 ㄖㄨㄢˇ
輮 ㄖㄡˊ
輯 ㄐㄧˊ
輰 ㄧㄤˊ
輱 ㄒㄧㄢˊ
輲 ㄔㄨㄢˊ
輳 ㄘㄡˋ
輴 ㄔㄨㄣ
輵 ㄍㄜˊ
輶 ㄧㄡˊ
輷 ㄏㄨㄥ
輸 ㄕㄨ
輹 ㄈㄨˋ
輺 ㄗ
輻 ㄈㄨˊ
輼 ㄨㄣ
輽 ㄈㄢˋ
輾 ㄓㄢˇ
輿 ㄩˊ
轀 ㄨㄣ
轁 ㄊㄠ
轂 ㄍㄨˇ
轃 ㄓㄣ
轄 ㄒㄧㄚˊ
轅 ㄩㄢˊ
轆 ㄌㄨˋ
轇 ㄐㄧㄡ
轈 ㄔㄠˊ
轉 ㄓㄨㄢˇ
轊 ㄨㄟˋ
轋 ㄏㄨㄣˊ
轌 ㄒㄩㄝˇ
轍 ㄓㄜˊ
轎 ㄐㄧㄠˋ
轏 ㄓㄢˋ
轐 ㄆㄨˊ
轑 ㄌㄠˇ
轒 ㄈㄣˊ
轓 ㄈㄢ
轔 ㄌㄧㄣˊ
轕 ㄍㄜˊ
轖 ㄙㄜˋ
轗 ㄎㄢˇ
轘 ㄏㄨㄢˋ
轙 ㄧˇ
轚 ㄐㄧˊ
轛 ㄉㄨㄟˋ
轜 ㄦˊ
轝 ㄩˊ
轞 ㄐㄧㄢˋ
轟 ㄏㄨㄥ
轠 ㄌㄟˊ
轡 ㄆㄟˋ
轢 ㄌㄧˋ
轣 ㄌㄧˋ
轤 ㄌㄨˊ
轥 ㄌㄧㄣˊ
车 ㄔㄜ
轧 ㄓˊ
轨 ㄍㄨㄟˇ
轩 ㄒㄩㄢˋ
轪 ㄉㄞˋ
轫 ㄖㄣˋ
转 ㄓㄨㄢˇ
轭 ㄜˋ
轮 ㄌㄨㄣˊ
软 ㄖㄨㄢˇ
轰 ㄏㄨㄥ
轱 ㄍㄨ
轲 ㄎㄜ
轳 ㄌㄨˊ
轴 ㄓㄡˋ
轵 ㄓˇ
轶 ㄉㄧㄝˊ
轷 ㄏㄨ
轸 ㄓㄣˇ
轹 ㄌㄧˋ
轺 ㄉㄧㄠ
轻 ㄑㄧㄥˋ
轼 ㄕˋ
载 ㄗㄞˇ
轾 ㄓˋ
轿 ㄐㄧㄠˋ
辀 ㄓㄡ
辁 ㄑㄩㄢˊ
辂 ㄏㄜˊ
较 ㄐㄧㄠˋ
辄 ㄓㄜˊ
辅 ㄈㄨˇ
辆 ㄌㄧㄤˋ
辇 ㄋㄧㄢˇ
辈 ㄅㄟˋ
辉 ㄏㄨㄟ
辊 ㄍㄨㄣˇ
辋 ㄨㄤˇ
辌 ㄌㄧㄤˊ
辍 ㄔㄨㄛˋ
辎 ㄗˋ
辏 ㄘㄡˋ
辐 ㄈㄨˊ
辑 ㄐㄧˊ
辒 ㄨㄣ
输 ㄕㄨˋ
辔 ㄆㄟˋ
辕 ㄩㄢˊ
辖 ㄏㄜˊ
辗 ㄓㄢˇ
辘 ㄌㄨˋ
辙 ㄓㄜˊ
辚 ㄌㄧㄣˋ
辛 ㄒㄧㄣ
辜 ㄍㄨ
辝 ㄘˊ
辞 ㄘˊ
辟 ㄅㄧˋ
辠 ㄗㄨㄟˋ
辡 ㄅㄧㄢˋ
辢 ㄌㄚˋ
辣 ㄌㄚˋ
辤 ㄘˊ
辥 ㄒㄩㄝ
辦 ㄅㄢˋ
辧 ㄅㄧㄢˋ
辨 ㄅㄧㄢˋ
辩 ㄅㄧㄢˇ
辫 ㄅㄧㄢˋ
辬 ㄅㄢ
辭 ㄘˊ
辮 ㄅㄧㄢˋ
辯 ㄅㄧㄢˋ
辰 ㄔㄣˊ
辱 ㄖㄨˇ
農 ㄋㄨㄥˊ
辳 ㄋㄨㄥˊ
辴 ㄓㄣˇ
辵 ㄔㄨㄛˋ
辶 ㄔㄨㄛˋ
辷 ㄧ
辸 ㄖㄥˊ
边 ㄅㄧㄢ
辺 ㄈㄢˇ
辻 ㄕˊ
込 ㄖㄨˋ
辽 ㄌㄧㄠˊ
达 ㄉㄚˊ
辿 ㄔㄢ
迀 ㄍㄢ
迁 ㄑㄧㄢ
迂 ㄩ
迃 ㄩ
迄 ㄑㄧˋ
迅 ㄒㄩㄣˋ
迆 ㄧˇ
过 ㄍㄨㄛˋ
迈 ㄇㄞˋ
迉 ㄕ
迊 ㄗㄚ
迋 ㄨㄤˋ
迌 ㄊㄨˋ
迍 ㄓㄨㄣ
迎 ㄧㄥˊ
迏 ㄉㄚˊ
运 ㄩㄣˇ
近 ㄐㄧㄣˋ
迒 ㄏㄤˊ
迓 ㄧㄚˋ
返 ㄈㄢˇ
迕 ㄨˋ
迖 ㄊㄚˋ
迗 ㄜˊ
还 ㄏㄨㄢˊ
这 ㄓㄜˋ
迚 ㄓㄨㄥ
进 ㄐㄧㄣˋ
远 ㄩㄢˇ
违 ㄏㄨㄟˊ
连 ㄌㄧㄢˇ
迟 ㄔˊ
迠 ㄔㄜˋ
迡 ㄋㄧˋ
迢 ㄊㄧㄠˊ
迣 ㄓˋ
迤 ㄧˇ
迥 ㄐㄩㄥˇ
迦 ㄐㄧㄚ
迧 ㄓㄣˋ
迨 ㄉㄞˋ
迩 ㄦˇ
迪 ㄉㄧˊ
迫 ㄆㄛˋ
迬 ㄨㄤˇ
迭 ㄉㄧㄝˊ
迮 ㄗㄜˊ
迯 ㄊㄠˊ
述 ㄕㄨˋ
迱 ㄧˇ
迲 ㄑㄩˋ
迳 ㄐㄧㄥˋ
迴 ㄏㄨㄟˊ
迵 ㄊㄨㄥˊ
迶 ㄧㄡˋ
迷 ㄇㄧˊ
迸 ㄅㄧㄥˇ
迹 ㄐㄧ
迺 ㄋㄞˇ
迻 ㄧˊ
迼 ㄐㄧㄝˊ
追 ㄓㄨㄟ
迾 ㄌㄧㄝˋ
迿 ㄒㄩㄣˋ
退 ㄊㄨㄟˋ
送 ㄙㄨㄥˋ
适 ㄍㄨㄚ
逃 ㄊㄠˊ
逄 ㄆㄤˊ
逅 ㄍㄡˋ
逆 ㄋㄧˋ
逇 ㄉㄨㄣˋ
逈 ㄐㄩㄥˇ
选 ㄒㄩㄢˇ
逊 ㄒㄩㄣˋ
逋 ㄅㄨ
逌 ㄧㄡˊ
逍 ㄒㄧㄠ
逎 ㄧㄡˊ
透 ㄊㄡˋ
逐 ㄓㄨˊ
逑 ㄑㄧㄡˊ
递 ㄉㄧˋ
逓 ㄉㄧˋ
途 ㄊㄨˊ
逕 ㄐㄧㄥˋ
逖 ㄊㄧˋ
逗 ㄉㄡˋ
逘 ㄙˋ
這 ㄓㄜˋ
通 ㄊㄨㄥ
逛 ㄍㄨㄤˋ
逜 ㄨˋ
逝 ㄕˋ
逞 ㄔㄥˇ
速 ㄙㄨˋ
造 ㄗㄠˋ
逡 ㄑㄩㄣ
逢 ㄈㄥˊ
連 ㄌㄧㄢˊ
逤 ㄙㄨㄛˋ
逥 ㄏㄨㄟˊ
逦 ㄌㄧˇ
逧 ㄍㄨˇ
逨 ㄌㄞˊ
逩 ㄅㄣˋ
逪 ㄘㄨㄛˋ
逫 ㄐㄩㄝˊ
逬 ㄅㄧㄥˇ
逭 ㄏㄨㄢˋ
逮 ㄉㄞˇ
逯 ㄌㄨˋ
逰 ㄧㄡˊ
週 ㄓㄡ
進 ㄐㄧㄣˋ
逳 ㄩˋ
逴 ㄔㄨㄛˋ
逵 ㄎㄨㄟˊ
逶 ㄨㄟ
逷 ㄉㄧˊ
逸 ㄧˋ
逹 ㄉㄚˊ
逺 ㄕㄨㄤˇ
逻 ㄌㄨㄛˊ
逼 ㄅㄧ
逽 ㄋㄨㄛˋ
逾 ㄩˊ
逿 ㄉㄤˋ
遀 ㄙㄨㄟˊ
遁 ㄉㄨㄣˋ
遂 ㄙㄨㄟˋ
遃 ㄧㄢˇ
遄 ㄔㄨㄢˊ
遅 ㄓˋ
遆 ㄊㄧˊ
遇 ㄩˋ
遈 ㄕˊ
遉 ㄓㄣ
遊 ㄧㄡˊ
運 ㄩㄣˋ
遌 ㄨˇ
遍 ㄅㄧㄢˋ
過 ㄍㄨㄛˋ
遏 ㄜˋ
遐 ㄒㄧㄚˊ
遑 ㄏㄨㄤˊ
遒 ㄑㄧㄡˊ
道 ㄉㄠˋ
達 ㄉㄚˊ
違 ㄨㄟˊ
遖 ㄋㄢˊ
遗 ㄨㄟˋ
遘 ㄍㄡˋ
遙 ㄧㄠˊ
遚 ㄔㄡˋ
遛 ㄌㄧㄡˊ
遜 ㄒㄩㄣˋ
遝 ㄊㄚˋ
遞 ㄉㄧˋ
遟 ㄓˋ
遠 ㄩㄢˇ
遡 ㄙㄨㄛˋ
遢 ㄊㄚˋ
遣 ㄑㄧㄢˇ
遤 ㄇㄚˇ
遥 ㄧㄠˊ
遦 ㄍㄨㄢˋ
遧 ㄓㄤ
遨 ㄠˊ
適 ㄕˋ
遪 ㄘㄚˋ
遫 ㄙㄨˋ
遬 ㄔㄨㄛˋ
遭 ㄗㄠ
遮 ㄓㄜˇ
遯 ㄉㄨㄣˋ
遰 ㄓˋ
遱 ㄌㄡˊ
遲 ㄔˊ
遳 ㄘㄨㄛ
遴 ㄌㄧㄣˊ
遵 ㄗㄨㄣ
遶 ㄖㄠˋ
遷 ㄑㄧㄢ
選 ㄒㄩㄢˇ
遹 ㄩˋ
遺 ㄧˊ
遻 ㄨˋ
遼 ㄌㄧㄠˊ
遽 ㄐㄩˋ
遾 ㄕˋ
避 ㄅㄧˋ
邀 ㄧㄠ
邁 ㄇㄞˋ
邂 ㄒㄧㄝˋ
邃 ㄙㄨㄟˋ
還 ㄏㄨㄢˊ
邅 ㄓㄢ
邆 ㄉㄥˋ
邇 ㄦˇ
邈 ㄇㄧㄠˇ
邉 ㄅㄧㄢ
邊 ㄅㄧㄢ
邋 ㄌㄚˊ
邌 ㄌㄧˊ
邍 ㄩㄢˊ
邎 ㄧㄡˊ
邏 ㄌㄨㄛˊ
邐 ㄌㄧˇ
邑 ㄧˋ
邒 ㄊㄧㄥˊ
邓 ㄕㄢ
邔 ㄑㄧˇ
邕 ㄩㄥ
邖 ㄕㄢ
邗 ㄏㄢˊ
邘 ㄩˊ
邙 ㄇㄤˊ
邚 ㄖㄨˊ
邛 ㄑㄩㄥˊ
邝 ㄎㄨㄤˋ
邞 ㄈㄨ
邟 ㄎㄤˋ
邠 ㄅㄧㄣ
邡 ㄈㄤ
邢 ㄒㄧㄥˊ
那 ㄋㄚˋ
邤 ㄒㄧㄣ
邥 ㄕㄣˇ
邦 ㄅㄤ
邧 ㄩㄢˊ
邨 ㄘㄨㄣ
邩 ㄏㄨㄛˇ
邪 ㄒㄧㄝˊ
邫 ㄅㄤ
邬 ㄨ
邭 ㄐㄩˋ
邮 ㄧㄡˊ
邯 ㄏㄢˊ
邰 ㄊㄞˊ
邱 ㄑㄧㄡ
邲 ㄅㄧˋ
邳 ㄆㄟˊ
邴 ㄅㄧㄥˇ
邵 ㄕㄠˋ
邶 ㄅㄟˋ
邷 ㄨㄚˇ
邸 ㄉㄧˇ
邹 ㄗㄡ
邺 ㄑㄧㄡ
邻 ㄌㄧㄣˋ
邼 ㄎㄨㄤ
邽 ㄍㄨㄟ
邾 ㄓㄨ
邿 ㄕ
郀 ㄎㄨ
郁 ㄩˋ
郂 ㄍㄞ
郃 ㄍㄜˊ
郄 ㄒㄧˋ
郅 ㄓˋ
郆 ㄐㄧˊ
郇 ㄒㄩㄣˊ
郈 ㄏㄡˋ
郉 ㄒㄧㄥˊ
郊 ㄐㄧㄠ
郋 ㄒㄧ
郌 ㄍㄨㄟ
郍 ㄋㄨㄛˊ
郎 ㄌㄤˊ
郏 ㄐㄧㄚˊ
郐 ㄎㄨㄞˋ
郑 ㄓㄥˋ
郒 ㄌㄤˊ
郓 ㄩㄣˋ
郔 ㄧㄢˊ
郕 ㄔㄥˊ
郖 ㄉㄡ
郗 ㄔ
郘 ㄌㄩˇ
郙 ㄈㄨˇ
郚 ㄨˊ
郛 ㄈㄨˊ
郜 ㄍㄠˋ
郝 ㄏㄜˋ
郞 ㄌㄤˊ
郟 ㄐㄧㄚˊ
郠 ㄍㄥˇ
郡 ㄐㄩㄣˋ
郢 ㄧㄥˇ
郣 ㄅㄛˊ
郤 ㄒㄧˋ
郥 ㄅㄟˋ
郦 ㄌㄧˋ
郧 ㄩㄣˊ
部 ㄅㄨˋ
郩 ㄒㄧㄠˊ
郪 ㄑㄧ
郫 ㄆㄧˊ
郬 ㄑㄧㄥ
郭 ㄍㄨㄛ
郮 ㄓㄡ
郯 ㄊㄢˊ
郰 ㄗㄡ
郱 ㄆㄧㄥˊ
郲 ㄌㄞˊ
郳 ㄋㄧˊ
郴 ㄔㄣ
郵 ㄧㄡˊ
郶 ㄅㄨˋ
郷 ㄒㄧㄤˋ
郸 ㄅㄨˋ
郹 ㄐㄩˊ
郺 ㄩㄥ
郻 ㄑㄧㄠ
郼 ㄧ
都 ㄉㄡ
郾 ㄧㄢˇ
郿 ㄇㄟˊ
鄀 ㄖㄨㄛˋ
鄁 ㄅㄟˋ
鄂 ㄜˋ
鄃 ㄩˊ
鄄 ㄐㄩㄢˋ
鄅 ㄩˇ
鄆 ㄩㄣˋ
鄇 ㄏㄡˋ
鄈 ㄎㄨㄟˊ
鄉 ㄒㄧㄤ
鄊 ㄒㄧㄤˋ
鄋 ㄙㄡ
鄌 ㄊㄤˊ
鄍 ㄇㄧㄥˊ
鄎 ㄒㄧˋ
鄏 ㄖㄨˋ
鄐 ㄔㄨˋ
鄑 ㄗ
鄒 ㄗㄡ
鄓 ㄐㄩˊ
鄔 ㄨ
鄕 ㄒㄧㄤˋ
鄖 ㄩㄣˊ
鄗 ㄏㄠˋ
鄘 ㄩㄥ
鄙 ㄅㄧˇ
鄚 ㄇㄛˋ
鄛 ㄔㄠˊ
鄜 ㄈㄨ
鄝 ㄌㄧㄠˇ
鄞 ㄧㄣˊ
鄟 ㄓㄨㄢ
鄠 ㄏㄨˋ
鄡 ㄑㄧㄠ
鄢 ㄧㄢ
鄣 ㄓㄤ
鄤 ㄈㄢˋ
鄥 ㄑㄧㄠ
鄦 ㄒㄩˇ
鄧 ㄉㄥˋ
鄨 ㄅㄧˋ
鄩 ㄒㄧㄣˊ
鄪 ㄅㄧˋ
鄫 ㄘㄥˊ
鄬 ㄨㄟˊ
鄭 ㄓㄥˋ
鄮 ㄇㄠˋ
鄯 ㄕㄢˋ
鄰 ㄌㄧㄣˊ
鄱 ㄆㄛˊ
鄲 ㄉㄢ
鄳 ㄇㄥˊ
鄴 ㄧㄝˋ
鄵 ㄘㄠ
鄶 ㄎㄨㄞˋ
鄷 ㄈㄥ
鄸 ㄇㄥˊ
鄹 ㄗㄡ
鄺 ㄎㄨㄤˋ
鄻 ㄌㄧㄢˇ
鄼 ㄗㄢˋ
鄽 ㄔㄢˊ
鄾 ㄧㄡ
鄿 ㄑㄧˊ
酀 ㄧㄢ
酁 ㄔㄢˊ
酂 ㄘㄨㄛˊ
酃 ㄌㄧㄥˊ
酄 ㄏㄨㄢ
酅 ㄒㄧ
酆 ㄈㄥ
酇 ㄗㄢˋ
酈 ㄌㄧˊ
酉 ㄧㄡˇ
酊 ㄉㄧㄥˇ
酋 ㄑㄧㄡˊ
酌 ㄓㄨㄛˊ
配 ㄆㄟˋ
酎 ㄓㄡˋ
酏 ㄧˇ
酐 ㄏㄤˇ
酑 ㄩˊ
酒 ㄐㄧㄡˇ
酓 ㄧㄢˇ
酔 ㄗㄨㄟˋ
酕 ㄇㄠˊ
酖 ㄓㄣˋ
酗 ㄒㄩˋ
酘 ㄊㄡˊ
酙 ㄓㄣ
酚 ㄈㄣ
酛 ㄩㄢˊ
酜 ㄈㄨ
酝 ㄩㄣˋ
酞 ㄊㄞˋ
酟 ㄊㄧㄢ
酠 ㄑㄧㄚˇ
酡 ㄊㄨㄛˊ
酢 ㄗㄨㄛˋ
酣 ㄏㄢ
酤 ㄍㄨ
酥 ㄙㄨ
酦 ㄆㄛ
酧 ㄔㄡˊ
酨 ㄉㄞˋ
酩 ㄇㄧㄥˇ
酪 ㄌㄨㄛˋ
酫 ㄔㄨㄛˋ
酬 ㄔㄡˊ
酭 ㄧㄡˋ
酮 ㄊㄨㄥˊ
酯 ㄓˇ
酰 ㄒㄧㄢ
酱 ㄐㄧㄤˋ
酲 ㄔㄥˊ
酳 ㄧㄣˋ
酴 ㄊㄨˊ
酵 ㄒㄧㄠˋ
酶 ㄇㄟˊ
酷 ㄎㄨˋ
酸 ㄙㄨㄢ
酹 ㄌㄟˋ
酺 ㄆㄨˊ
酻 ㄗㄨㄟˋ
酼 ㄏㄞˇ
酽 ㄧㄢˋ
酾 ㄕ
酿 ㄋㄧㄤˋ
醀 ㄨㄟˊ
醁 ㄌㄨˋ
醂 ㄌㄢˇ
醃 ㄧㄢ
醄 ㄊㄠˊ
醅 ㄆㄟ
醆 ㄓㄢˇ
醇 ㄔㄨㄣˊ
醈 ㄉㄢˋ
醉 ㄗㄨㄟˋ
醊 ㄔㄨㄛˋ
醋 ㄘㄨˋ
醌 ㄎㄨㄣ
醍 ㄊㄧˊ
醎 ㄒㄧㄢˊ
醏 ㄉㄨ
醐 ㄏㄨˊ
醑 ㄒㄩˇ
醒 ㄒㄧㄥˇ
醓 ㄊㄢˇ
醔 ㄧㄡˊ
醕 ㄔㄨㄣˊ
醖 ㄨㄣˋ
醗 ㄈㄚ
醘 ㄎㄜˋ
醙 ㄙㄡ
醚 ㄇㄧˊ
醛 ㄑㄩㄢˊ
醜 ㄔㄡˇ
醝 ㄘㄨㄛˊ
醞 ㄩㄣˋ
醟 ㄩㄥˋ
醠 ㄤˋ
醡 ㄓㄚˋ
醢 ㄏㄞˇ
醣 ㄊㄤˊ
醤 ㄐㄧㄤˋ
醥 ㄆㄧㄠˇ
醦 ㄔㄢˇ
醧 ㄩˋ
醨 ㄌㄧˊ
醩 ㄗㄠ
醪 ㄌㄠˊ
醫 ㄧ
醬 ㄐㄧㄤˋ
醭 ㄅㄨˊ
醮 ㄐㄧㄠˋ
醯 ㄒㄧˋ
醰 ㄊㄢˊ
醱 ㄆㄛˋ
醲 ㄋㄨㄥˊ
醳 ㄧˋ
醴 ㄌㄧˇ
醵 ㄐㄩˋ
醶 ㄌㄧㄢˇ
醷 ㄧˋ
醸 ㄋㄧㄤˋ
醹 ㄖㄨˊ
醺 ㄒㄩㄣ
醻 ㄔㄡˊ
醼 ㄧㄢˋ
醽 ㄌㄧㄥˊ
醾 ㄇㄧˊ
醿 ㄇㄧˊ
釀 ㄋㄧㄤˋ
釁 ㄒㄧㄣˋ
釂 ㄐㄧㄠˋ
釃 ㄕ
釄 ㄇㄧˊ
釅 ㄧㄢˋ
釆 ㄘㄞˇ
采 ㄘㄞˇ
釈 ㄕˋ
釉 ㄧㄡˋ
释 ㄕˋ
釋 ㄕˋ
里 ㄌㄧˇ
重 ㄓㄨㄥˋ
野 ㄧㄝˇ
量 ㄌㄧㄤˊ
釐 ㄌㄧˊ
金 ㄐㄧㄣ
釒 ㄐㄧㄣ
釓 ㄍㄚˊ
釔 ㄧˇ
釕 ㄌㄧㄠˇ
釖 ㄉㄠ
釗 ㄓㄠ
釘 ㄉㄧㄥˋ
釙 ㄆㄛˋ
釚 ㄑㄧㄡˊ
釛 ㄏㄜˊ
釜 ㄈㄨˇ
針 ㄓㄣ
釞 ㄓˊ
釟 ㄅㄚ
釠 ㄌㄨㄢˋ
釡 ㄈㄨˇ
釢 ㄋㄞˇ
釣 ㄉㄧㄠˋ
釤 ㄕㄢˋ
釥 ㄑㄧㄠˇ
釦 ㄎㄡˋ
釧 ㄔㄨㄢˋ
釨 ㄗˇ
釩 ㄈㄢˊ
釪 ㄩˊ
釫 ㄏㄨㄚˊ
釬 ㄏㄢˋ
釭 ㄍㄨㄥ
釮 ㄑㄧˊ
釯 ㄇㄤˊ
釰 ㄖˋ
釱 ㄉㄧˋ
釲 ㄙˋ
釳 ㄒㄧˋ
釴 ㄧˋ
釵 ㄔㄞ
釶 ㄕㄜˊ
釷 ㄊㄨˇ
釸 ㄒㄧˋ
釹 ㄋㄩˇ
釺 ㄑㄧㄢ
釻 ㄑㄧㄡˊ
釼 ㄐㄧㄢˋ
釽 ㄆㄧ
釾 ㄧㄝˊ
釿 ㄧㄣˊ
鈀 ㄅㄚˇ
鈁 ㄈㄤ
鈂 ㄔㄣˊ
鈃 ㄐㄧㄢ
鈄 ㄊㄡˇ
鈅 ㄩㄝˋ
鈆 ㄧㄢˊ
鈇 ㄈㄨ
鈈 ㄆㄧˊ
鈉 ㄋㄚˋ
鈊 ㄒㄧㄣ
鈋 ㄜˊ
鈌 ㄐㄩㄝˊ
鈍 ㄉㄨㄣˋ
鈎 ㄍㄡ
鈏 ㄧㄣˇ
鈐 ㄑㄧㄢˊ
鈑 ㄅㄢˇ
鈒 ㄐㄧˊ
鈓 ㄖㄣˊ
鈔 ㄔㄠ
鈕 ㄋㄧㄡˇ
鈖 ㄈㄣ
鈗 ㄩㄣˇ
鈘 ㄧˇ
鈙 ㄑㄧㄣˊ
鈚 ㄆㄧˊ
鈛 ㄍㄨㄛ
鈜 ㄏㄨㄥˊ
鈝 ㄧㄣˊ
鈞 ㄐㄩㄣ
鈟 ㄉㄧㄠˋ
鈠 ㄧˋ
鈢 ㄋㄧㄝˋ
鈣 ㄍㄞˋ
鈤 ㄖˋ
鈥 ㄏㄨㄛˇ
鈦 ㄊㄞˋ
鈧 ㄎㄤˋ
鈨 ㄩㄢˊ
鈩 ㄌㄨˊ
鈬 ㄉㄨㄛˊ
鈭 ㄗ
鈮 ㄋㄧˊ
鈯 ㄊㄨˊ
鈰 ㄕˋ
鈱 ㄇㄧㄣˊ
鈲 ㄍㄨ
鈳 ㄎㄜ
鈴 ㄌㄧㄥˊ
鈵 ㄅㄧㄥˋ
鈶 ㄧˊ
鈷 ㄍㄨˇ
鈸 ㄅㄚˊ
鈹 ㄆㄧˊ
鈺 ㄩˋ
鈻 ㄙˋ
鈼 ㄗㄨㄛˊ
鈽 ㄅㄨˋ
鈾 ㄧㄡˊ
鈿 ㄉㄧㄢˋ
鉀 ㄐㄧㄚˇ
鉁 ㄓㄣ
鉂 ㄕˇ
鉃 ㄗㄨˊ
鉄 ㄊㄧㄝˇ
鉅 ㄐㄩˋ
鉆 ㄓㄢ
鉇 ㄕㄜˊ
鉈 ㄕㄜˊ
鉉 ㄒㄩㄢˋ
鉊 ㄓㄠ
鉋 ㄅㄠˋ
鉌 ㄏㄜˊ
鉍 ㄅㄧˋ
鉎 ㄕㄥ
鉏 ㄔㄨˊ
鉐 ㄕˊ
鉑 ㄅㄛˊ
鉒 ㄓㄨˋ
鉓 ㄔˋ
鉔 ㄗㄚ
鉕 ㄆㄛˇ
鉖 ㄊㄨㄥˊ
鉗 ㄑㄧㄢˊ
鉘 ㄈㄨˊ
鉙 ㄓㄞˇ
鉚 ㄇㄠˇ
鉛 ㄑㄧㄢ
鉜 ㄈㄨˊ
鉝 ㄌㄧˋ
鉞 ㄩㄝˋ
鉟 ㄆㄧˊ
鉠 ㄧㄤ
鉡 ㄅㄢˋ
鉢 ㄅㄛˊ
鉣 ㄐㄧㄝˊ
鉤 ㄍㄡ
鉥 ㄕㄨˋ
鉦 ㄓㄥ
鉧 ㄇㄨˇ
鉨 ㄋㄧˇ
鉩 ㄒㄧˇ
鉪 ㄉㄞˋ
鉫 ㄐㄧㄚ
鉬 ㄇㄨˋ
鉭 ㄉㄢˋ
鉮 ㄕㄣ
鉯 ㄧˇ
鉰 ㄙ
鉱 ㄎㄨㄤˋ
鉲 ㄎㄚ
鉴 ㄐㄧㄢˋ
鉵 ㄊㄨㄥˊ
鉶 ㄒㄧㄥˊ
鉷 ㄏㄨㄥˊ
鉸 ㄐㄧㄠˇ
鉹 ㄔˇ
鉺 ㄦˇ
鉻 ㄍㄜˋ
鉼 ㄅㄧㄥˇ
鉽 ㄕˋ
鉾 ㄇㄡˊ
鉿 ㄏㄚ
銀 ㄧㄣˊ
銁 ㄐㄩㄣ
銂 ㄓㄡ
銃 ㄔㄨㄥˋ
銄 ㄒㄧㄤˇ
銅 ㄊㄨㄥˊ
銆 ㄇㄛˋ
銇 ㄌㄟˋ
銈 ㄐㄧ
銉 ㄩˋ
銊 ㄒㄩˋ
銋 ㄖㄣˊ
銌 ㄗㄨㄣˋ
銍 ㄓˋ
銎 ㄑㄩㄥ
銏 ㄕㄢˋ
銐 ㄨˊ
銑 ㄒㄧㄢˇ
銒 ㄧㄢˊ
銓 ㄑㄩㄢˊ
銔 ㄆㄧ
銕 ㄧˊ
銖 ㄓㄨ
銗 ㄏㄡˊ
銘 ㄇㄧㄥˊ
銙 ㄎㄨㄚˇ
銚 ㄧㄠˊ
銛 ㄒㄧㄢ
銜 ㄒㄧㄢˊ
銝 ㄒㄧㄡ
銞 ㄐㄩㄣ
銟 ㄔㄚ
銠 ㄌㄠˇ
銡 ㄐㄧˊ
銢 ㄩㄥˇ
銣 ㄖㄨˊ
銤 ㄇㄧˇ
銥 ㄧ
銦 ㄧㄣ
銧 ㄍㄨㄤ
銨 ㄢ
銩 ㄉㄧㄡ
銪 ㄧㄡˇ
銫 ㄙㄜˋ
銬 ㄎㄠˋ
銭 ㄐㄧㄢˇ
銮 ㄌㄨㄢˊ
銯 ㄇㄧˋ
銱 ㄉㄧㄠˋ
銲 ㄏㄢˋ
銳 ㄖㄨㄟˋ
銴 ㄕˋ
銵 ㄎㄥ
銶 ㄑㄧㄡˊ
銷 ㄒㄧㄠ
銸 ㄓㄜˊ
銹 ㄒㄧㄡˋ
銺 ㄗㄤˋ
銻 ㄊㄧˋ
銼 ㄘㄨㄛˋ
銽 ㄍㄨㄚ
銾 ㄍㄨㄥˇ
銿 ㄓㄨㄥ
鋀 ㄉㄡˋ
鋁 ㄌㄩˇ
鋂 ㄇㄟˇ
鋃 ㄌㄤˊ
鋄 ㄨㄢˇ
鋅 ㄒㄧㄣ
鋆 ㄩㄣˊ
