㜈 ㄇㄨˋ
㜉 ㄩㄥ
㜊 ㄓㄢˇ
㜋 ㄧˋ
㜌 ㄍㄡˋ
㜍 ㄊㄤˊ
㜎 ㄒㄧ
㜏 ㄩㄣˊ
㜐 ㄕㄨˋ
㜑 ㄆㄛˊ
㜒 ㄧˋ
㜓 ㄉㄚˊ
㜕 ㄌㄧㄢˊ
㜖 ㄘㄠˊ
㜗 ㄘㄢ
㜘 ㄑㄩˋ
㜙 ㄌㄨˋ
㜚 ㄙㄨˋ
㜛 ㄋㄣˋ
㜜 ㄠˋ
㜝 ㄢ
㜞 ㄑㄧㄢˋ
㜠 ㄘㄨㄟ
㜡 ㄘㄨㄥ
㜢 ㄌㄩˇ
㜣 ㄖㄢˊ
㜤 ㄕㄣˇ
㜥 ㄇㄞˊ
㜦 ㄒㄩㄣˊ
㜧 ㄩㄝ
㜨 ㄋㄞˊ
㜩 ㄠˋ
㜪 ㄒㄧㄢˇ
㜫 ㄇㄟˇ
㜬 ㄓㄢ
㜮 ㄌㄢˋ
㜯 ㄒㄧ
㜰 ㄩㄝˋ
㜱 ㄓˊ
㜲 ㄧㄥˊ
㜳 ㄏㄨㄞˊ
㜴 ㄇㄥˋ
㜵 ㄋㄧㄠˇ
㜶 ㄈㄢˋ
㜷 ㄇㄧˊ
㜸 ㄋㄧㄝˋ
㜹 ㄑㄩˊ
㜺 ㄗㄢˋ
㜻 ㄌㄨㄢˊ
㜼 ㄓˊ
㜽 ㄗˇ
㜾 ㄏㄞ
㜿 ㄒㄩˋ
㝀 ㄏㄠˇ
㝁 ㄑㄩㄥˊ
㝂 ㄓˋ
㝃 ㄇㄧㄢˇ
㝄 ㄓㄨㄣˇ
㝅 ㄍㄡˋ
㝇 ㄔㄨㄣˊ
㝈 ㄌㄨㄢˊ
㝉 ㄅㄠ
㝊 ㄕㄡˇ
㝋 ㄌㄧㄠˇ
㝌 ㄐㄧㄡˋ
㝍 ㄒㄧㄝˇ
㝎 ㄉㄧㄢˇ
㝏 ㄐㄧㄝˋ
㝐 ㄖㄨㄥˊ
㝑 ㄅㄤˋ
㝒 ㄐㄩ
㝓 ㄎㄜˋ
㝔 ㄧㄠˇ
㝕 ㄋㄧㄥˋ
㝖 ㄧˊ
㝗 ㄌㄤˇ
㝘 ㄩㄥˊ
㝙 ㄧㄣˊ
㝚 ㄧㄢˊ
㝛 ㄙㄨˋ
㝜 ㄒㄧˊ
㝝 ㄌㄧㄣˊ
㝞 ㄧㄚ
㝟 ㄇㄥˊ
㝠 ㄇㄧㄥˊ
㝡 ㄘㄨㄛ
㝢 ㄩˇ
㝣 ㄧˋ
㝤 ㄍㄡˋ
㝥 ㄇㄧˇ
㝦 ㄐㄩㄣˋ
㝧 ㄨㄣˇ
㝨 ㄏㄨㄢˊ
㝩 ㄎㄤ
㝪 ㄉㄧㄢˋ
㝫 ㄌㄨㄥ
㝬 ㄈㄨ
㝭 ㄒㄧㄥˊ
㝮 ㄘㄨㄟˋ
㝯 ㄑㄧㄠˊ
㝰 ㄇㄧㄢˊ
㝱 ㄇㄥˋ
㝲 ㄑㄧㄣˇ
㝴 ㄨㄢˊ
㝵 ㄉㄞˇ
㝶 ㄉㄞˇ
㝷 ㄒㄩㄣˊ
㝸 ㄅㄧㄢˋ
㝹 ㄋㄡˊ
㝺 ㄌㄧㄢˊ
㝻 ㄐㄧㄣˋ
㝼 ㄩ
㝽 ㄓㄨㄟˇ
㝾 ㄗㄨㄛˇ
㝿 ㄅㄛˇ
㞀 ㄏㄨㄟ
㞁 ㄧㄠˋ
㞂 ㄎㄨㄟˇ
㞃 ㄐㄧˊ
㞄 ㄢ
㞅 ㄌㄨㄛˋ
㞆 ㄑㄧˋ
㞇 ㄨㄟˇ
㞈 ㄅㄛ
㞉 ㄗㄨㄛ
㞊 ㄒㄩˋ
